City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hradec kralove,50.2092,15.8328,-2.19,89,51,0.66,CZ,1738555820
1,callao,-12.0667,-77.15,24.84,83,0,5.14,PE,1738555821
2,tura,25.5198,90.2201,23.54,33,0,1.5,IN,1738555823
3,yarmouth,41.7057,-70.2286,2.03,83,100,3.6,US,1738555650
4,puerto natales,-51.7236,-72.4875,6.5,91,72,3.23,CL,1738555676
5,port-aux-francais,-49.35,70.2167,3.86,79,100,15.85,TF,1738555827
6,hawaiian paradise park,19.5933,-154.9731,22.73,76,20,3.6,US,1738555828
7,mao,39.8885,4.2658,11.31,82,75,4.63,ES,1738555829
8,hamilton,39.1834,-84.5333,8.3,88,100,1.34,US,1738555784
9,waitangi,-43.9535,-176.5597,16.57,68,100,2.24,NZ,1738555832
10,cockburn town,21.4612,-71.1419,25.18,79,0,9.44,TC,1738555761
11,susuman,62.7833,148.1667,-36.45,97,84,0.36,RU,1738555835
12,muroto-misakicho,33.2833,134.15,12.37,59,96,7.27,JP,1738555836
13,vitoria da conquista,-14.8661,-40.8394,18.52,91,88,2.85,BR,1738555788
14,bilibino,68.0546,166.4372,-31.04,98,100,3.74,RU,1738555840
15,iqaluit,63.7506,-68.5145,-27.95,68,100,1.34,CA,1738555841
16,college,64.8569,-147.8028,-10.03,85,100,0.0,US,1738555842
17,saipan,15.1355,145.701,32.39,55,40,6.17,MP,1738555677
18,ribeira grande,38.5167,-28.7,18.21,93,100,8.49,PT,1738555845
19,port elizabeth,-33.918,25.5701,16.29,92,68,0.89,ZA,1738555745
20,constantia,44.1833,28.65,5.39,92,95,4.16,RO,1738555848
21,tiksi,71.6872,128.8694,-23.42,93,100,11.56,RU,1738555849
22,kruisfontein,-34.0033,24.7314,16.25,79,45,2.58,ZA,1738555850
23,nagqu,31.5,92.0,1.39,3,0,7.58,CN,1738555852
24,akureyri,65.6835,-18.0878,-3.61,95,100,3.53,IS,1738555834
25,klyuchi,52.2667,79.1667,-13.61,97,86,2.34,RU,1738555854
26,albany,42.6001,-73.9662,-4.13,90,100,0.89,US,1738555856
27,laguna,38.421,-121.4238,15.13,87,100,4.63,US,1738555857
28,port alfred,-33.5906,26.891,17.32,87,6,1.34,ZA,1738555858
29,kiamba,5.9894,124.6242,30.23,65,96,3.95,PH,1738555860
30,ciudad melchor muzquiz,27.8833,-101.5167,18.74,40,0,2.62,MX,1738555861
31,kodiak,57.79,-152.4072,0.73,80,0,5.66,US,1738555679
32,ilulissat,69.2167,-51.1,-18.99,71,81,1.54,GL,1738555864
33,guerrero negro,27.9769,-114.0611,16.2,70,32,3.48,MX,1738555856
34,dauphin,51.1494,-100.0502,-22.92,70,20,8.75,CA,1738555866
35,enewetak,11.3474,162.3373,27.02,78,59,9.37,MH,1738555868
36,talnakh,69.4865,88.3972,-24.56,93,100,1.87,RU,1738555663
